k,Gray_PSNR,Gray_MSE,Gray_SSIM,Gray_Saved%,RGB_PSNR,RGB_MSE,RGB_Saved%
5,17.557581921356164,1141.095962524414,0.795448699129621,99.0229606628418,23.21025287171612,310.4953308105469,96.08612060546875
10,19.775278998614528,684.7821969985962,0.8863197315635841,98.0459213256836,25.915808253470466,166.53270467122397,92.1722412109375
20,22.07427048539985,403.3233003616333,0.936069118277485,96.09184265136719,29.126609433155345,79.5095723470052,84.344482421875
30,23.479803230655595,291.80991077423096,0.9546155947398114,94.13776397705078,31.425987820245656,46.825408935546875,76.5167236328125
50,25.488025846791036,183.77133750915527,0.9719265610926179,90.22960662841797,34.84322540769897,21.318557739257812,60.8612060546875
70,26.97677068886549,130.43774795532227,0.9802552092351322,86.32144927978516,37.36188071548632,11.936920166015625,45.2056884765625
100,28.796410138235082,85.79052925109863,0.9871164723584273,80.45921325683594,40.62355457951594,5.6328074137369795,21.722412109375
